date,log_ebu_mgCH4_m2_d,ebu_mgCH4_m2_d,log_ebu_mgCH4_m2_d_1,ebu_mgCH4_m2_d_1,temp_b_avg,lvl_chg
5/27/19,1.547003997,4.697375726,-2.302585093,0.1,17.19521381,0
6/3/19,2.385850851,10.86830605,1.547003997,4.697375726,18.18430333,0
6/10/19,2.854799003,17.37094535,2.385850851,10.86830605,18.84303333,-0.03048
6/17/19,2.69868388,14.86016109,2.854799003,17.37094535,20.09644,0.03048
6/24/19,3.013394421,20.35638091,2.69868388,14.86016109,21.04987,-0.01524
7/1/19,3.698000105,40.36649482,3.013394421,20.35638091,22.03064,-0.03048
7/8/19,4.040283185,56.84243747,3.698000105,40.36649482,22.99582,-0.06096
7/15/19,4.158084896,63.94893639,4.040283185,56.84243747,23.66628,-0.03048
7/22/19,3.84516134,46.76622903,4.158084896,63.94893639,24.61769,0
7/29/19,3.870106153,47.94747559,3.84516134,46.76622903,24.14734,-0.03048
8/5/19,3.655748462,38.69647311,3.870106153,47.94747559,24.06159,0.025908
8/12/19,3.914500517,50.12402917,3.655748462,38.69647311,23.81064,-0.036576
